Num   y   M   d   h   min   s   ms      T_raw   T_C   Hum_raw   Hum_% 
164   2022   12   20   10   3   8   543      6188   22.18   1476   48.62


165   2022   12   20   10   3   8   945      6188   22.18   1475   48.59


166   2022   12   20   10   3   8   945      6188   22.18   1476   48.62


167   2022   12   20   10   3   9   346      6189   22.19   1475   48.59


168   2022   12   20   10   3   9   747      6188   22.18   1475   48.59


169   2022   12   20   10   3   10   149      6189   22.19   1475   48.59


170   2022   12   20   10   3   10   550      6190   22.2   1475   48.59


171   2022   12   20   10   3   10   951      6188   22.18   1475   48.59


172   2022   12   20   10   3   11   352      6188   22.18   1475   48.59


173   2022   12   20   10   3   11   753      6188   22.18   1474   48.55


174   2022   12   20   10   3   12   154      6188   22.18   1474   48.55


175   2022   12   20   10   3   12   555      6188   22.18   1474   48.55


176   2022   12   20   10   3   12   956      6188   22.18   1474   48.55


177   2022   12   20   10   3   13   357      6188   22.18   1474   48.55


178   2022   12   20   10   3   13   758      6188   22.18   1474   48.55


179   2022   12   20   10   3   14   159      6188   22.18   1474   48.55


180   2022   12   20   10   3   14   561      6187   22.17   1474   48.55


181   2022   12   20   10   3   14   561      6188   22.18   1474   48.55


182   2022   12   20   10   3   14   962      6188   22.18   1474   48.55


183   2022   12   20   10   3   15   363      6187   22.17   1474   48.55


184   2022   12   20   10   3   15   764      6188   22.18   1474   48.55


185   2022   12   20   10   3   16   165      6188   22.18   1474   48.55


186   2022   12   20   10   3   16   566      6188   22.18   1474   48.55


187   2022   12   20   10   3   16   967      6188   22.18   1474   48.55


188   2022   12   20   10   3   17   368      6187   22.17   1474   48.55


189   2022   12   20   10   3   17   769      6187   22.17   1474   48.55


190   2022   12   20   10   3   18   171      6187   22.17   1474   48.55


191   2022   12   20   10   3   18   572      6186   22.16   1474   48.55


192   2022   12   20   10   3   18   973      6188   22.18   1474   48.55


193   2022   12   20   10   3   19   374      6187   22.17   1474   48.55


194   2022   12   20   10   3   19   775      6187   22.17   1475   48.59


195   2022   12   20   10   3   20   177      6187   22.17   1475   48.59


196   2022   12   20   10   3   20   177      6186   22.16   1475   48.59


197   2022   12   20   10   3   20   578      6185   22.15   1475   48.59


198   2022   12   20   10   3   20   979      6185   22.15   1475   48.59


199   2022   12   20   10   3   21   381      6186   22.16   1475   48.59


200   2022   12   20   10   3   21   782      6186   22.16   1476   48.62


201   2022   12   20   10   3   22   183      6186   22.16   1476   48.62


202   2022   12   20   10   3   22   584      6185   22.15   1476   48.62


203   2022   12   20   10   3   22   985      6185   22.15   1476   48.62


204   2022   12   20   10   3   23   387      6186   22.16   1476   48.62


205   2022   12   20   10   3   23   788      6185   22.15   1476   48.62


206   2022   12   20   10   3   24   189      6186   22.16   1476   48.62


207   2022   12   20   10   3   24   590      6185   22.15   1476   48.62


208   2022   12   20   10   3   24   992      6184   22.14   1476   48.62


209   2022   12   20   10   3   25   393      6184   22.14   1476   48.62


210   2022   12   20   10   3   25   794      6186   22.16   1475   48.59


